day,name,start,end,description
4,"FOK!",21:30,22:30,""
4,"The Kelly Cats",00:30,01:30,"Not your average coverband. Hits & classics with a rock 'n roll twist. (instagram.com/thekellycats.band/)"
5,"Manatee",18:00,19:00,"Manatee is een Nijmeegse coverband met hits van alle tijden. Je kan meezingen met een een breed repertoire aan guilty pleasures en gouwe ouwe; van Harry Styles tot ABBA en van Stevie Wonder tot Robbie Williams. (vierdaagsefeesten.nl)"
5,"The Breaks",21:00,22:00,"Pop/Rock/Coverband. Bruiloften, feesten & partijen! Van Tina Turner tot Bon Jovi tot Dua Lipa en nog véél meer! (instagram.com/the_breaks_nl/)"
5,"The Tributes",00:30,01:30,"Deze band brengt een avond vol tributes aan de legendes van pop- en rockmuziek. Denk bij THE TRIBUTES niet aan achtergrondmuziek, maar een show met Jeroen Waller-Diemont op gitaar, ondersteund door Twan arts op cajon en krachtige vocalen van charismatische zangeres Karlijn. De band, bestaande uit 3 jonge muzikanten, is ontstaan en gegroeid in Dollars: dé live kroeg van Nijmegen. Op de setlijst staan covers van o.a. Tina Turner, ACDC, Bon Jovi en Queen. Het publiek zal met de muzikale TRIBUTES van het begin tot het eind meebrullen. Aangestoken door de overdosis aan enthousiasme van de band. (vierdaagsefeesten.nl)"
6,"The Oracles",19:00,20:00,""
6,"De Gang Van Zaken",21:30,22:30,"Wij zijn De Gang Van Zaken, een in Nijmegen gevestigde band met Utrechtse roots. We spelen een eigen combinatie van indie, pop, funk en een vleugje rock. (vierdaagsefeesten.nl)"
6,"Royal Blend",00:30,01:30,""
7,"Blueshift",21:00,22:00,"Verwacht bij Blueshift een optreden vol meeslepende vocalen, scheurende gitaarsolo's, rommelende bas en opzwepende drums! Deze vierkoppige Nijmeegse band speelt al bijna 10 jaar samen. De eerste jaren speelden ze, toen nog allemaal studenten aan de Radboud Universiteit, vooral covers van bekende nummers uit de blues, bluesrock en classic rock. Tegenwoordig gebruiken ze die invloeden voor hun eigen materiaal en hebben ze sinds 2020 verschillende nummers uitgebracht. Na deelname aan de Roos van Nijmegen in Doornroosje duikt de band regelmatig weer de studio in en zijn ze in de tussentijd op allerlei plekken live te vinden! (blueshiftband.nl)"
7,"Low Hangin' Fruit",01:00,02:00,"Low Hangin' Fruit is not ""your average coverband"". Vier ervaren enthousiaste muzikanten met een passie voor jouw favoriete guilty pleasures. Een unieke setlist waarin alle tijden worden aangetikt van 80's tot 00's en dit alles met een knipoog. Altijd een rockversie willen horen van Eternal Flame of Crazy in Love? Zin in de tropische vibes van Dreadlock Holiday? Of liever rocken op In The End? Dan is dit jouw band! Meezingen, meedansen en een lekker potje headbangen zijn geen opties, het is verplicht! (lowhanginfruitband.nl)"
